"Repo","Skill","Status","Source","Dest"
"Vibe-Trading","earnings-forecast","installed","agent/src/skills/earnings-forecast/SKILL.md","C:\Users\lixue\.codex\skills\earnings-forecast"
"Vibe-Trading","earnings-revision","installed","agent/src/skills/earnings-revision/SKILL.md","C:\Users\lixue\.codex\skills\earnings-revision"
"Vibe-Trading","edgar-sec-filings","installed","agent/src/skills/edgar-sec-filings/SKILL.md","C:\Users\lixue\.codex\skills\edgar-sec-filings"
"Vibe-Trading","elliott-wave","installed","agent/src/skills/elliott-wave/SKILL.md","C:\Users\lixue\.codex\skills\elliott-wave"
"Vibe-Trading","etf-analysis","installed","agent/src/skills/etf-analysis/SKILL.md","C:\Users\lixue\.codex\skills\etf-analysis"
"Vibe-Trading","event-driven","installed","agent/src/skills/event-driven/SKILL.md","C:\Users\lixue\.codex\skills\event-driven"
"Vibe-Trading","execution-model","installed","agent/src/skills/execution-model/SKILL.md","C:\Users\lixue\.codex\skills\execution-model"
"Vibe-Trading","factor-research","installed","agent/src/skills/factor-research/SKILL.md","C:\Users\lixue\.codex\skills\factor-research"
"Vibe-Trading","financial-statement","installed","agent/src/skills/financial-statement/SKILL.md","C:\Users\lixue\.codex\skills\financial-statement"
"Vibe-Trading","fund-analysis","installed","agent/src/skills/fund-analysis/SKILL.md","C:\Users\lixue\.codex\skills\fund-analysis"
"Vibe-Trading","fundamental-filter","installed","agent/src/skills/fundamental-filter/SKILL.md","C:\Users\lixue\.codex\skills\fundamental-filter"
"Vibe-Trading","geopolitical-risk","installed","agent/src/skills/geopolitical-risk/SKILL.md","C:\Users\lixue\.codex\skills\geopolitical-risk"
"Vibe-Trading","global-macro","installed","agent/src/skills/global-macro/SKILL.md","C:\Users\lixue\.codex\skills\global-macro"
"Vibe-Trading","harmonic","installed","agent/src/skills/harmonic/SKILL.md","C:\Users\lixue\.codex\skills\harmonic"
"Vibe-Trading","hedging-strategy","installed","agent/src/skills/hedging-strategy/SKILL.md","C:\Users\lixue\.codex\skills\hedging-strategy"
"Vibe-Trading","hk-connect-flow","installed","agent/src/skills/hk-connect-flow/SKILL.md","C:\Users\lixue\.codex\skills\hk-connect-flow"
"Vibe-Trading","ichimoku","installed","agent/src/skills/ichimoku/SKILL.md","C:\Users\lixue\.codex\skills\ichimoku"
"Vibe-Trading","liquidation-heatmap","installed","agent/src/skills/liquidation-heatmap/SKILL.md","C:\Users\lixue\.codex\skills\liquidation-heatmap"
"Vibe-Trading","macro-analysis","installed","agent/src/skills/macro-analysis/SKILL.md","C:\Users\lixue\.codex\skills\macro-analysis"
"Vibe-Trading","market-microstructure","installed","agent/src/skills/market-microstructure/SKILL.md","C:\Users\lixue\.codex\skills\market-microstructure"
"Vibe-Trading","minute-analysis","installed","agent/src/skills/minute-analysis/SKILL.md","C:\Users\lixue\.codex\skills\minute-analysis"
"Vibe-Trading","ml-strategy","installed","agent/src/skills/ml-strategy/SKILL.md","C:\Users\lixue\.codex\skills\ml-strategy"
"Vibe-Trading","mootdx","installed","agent/src/skills/mootdx/SKILL.md","C:\Users\lixue\.codex\skills\mootdx"
"Vibe-Trading","multi-factor","installed","agent/src/skills/multi-factor/SKILL.md","C:\Users\lixue\.codex\skills\multi-factor"
"Vibe-Trading","okx-market","installed","agent/src/skills/okx-market/SKILL.md","C:\Users\lixue\.codex\skills\okx-market"
"Vibe-Trading","onchain-analysis","installed","agent/src/skills/onchain-analysis/SKILL.md","C:\Users\lixue\.codex\skills\onchain-analysis"
"Vibe-Trading","options-advanced","installed","agent/src/skills/options-advanced/SKILL.md","C:\Users\lixue\.codex\skills\options-advanced"
"Vibe-Trading","options-payoff","installed","agent/src/skills/options-payoff/SKILL.md","C:\Users\lixue\.codex\skills\options-payoff"
"Vibe-Trading","options-strategy","installed","agent/src/skills/options-strategy/SKILL.md","C:\Users\lixue\.codex\skills\options-strategy"
"Vibe-Trading","pair-trading","installed","agent/src/skills/pair-trading/SKILL.md","C:\Users\lixue\.codex\skills\pair-trading"
"Vibe-Trading","performance-attribution","installed","agent/src/skills/performance-attribution/SKILL.md","C:\Users\lixue\.codex\skills\performance-attribution"
"Vibe-Trading","perp-funding-basis","installed","agent/src/skills/perp-funding-basis/SKILL.md","C:\Users\lixue\.codex\skills\perp-funding-basis"
"Vibe-Trading","pine-script","installed","agent/src/skills/pine-script/SKILL.md","C:\Users\lixue\.codex\skills\pine-script"
"Vibe-Trading","quant-statistics","installed","agent/src/skills/quant-statistics/SKILL.md","C:\Users\lixue\.codex\skills\quant-statistics"
"Vibe-Trading","regulatory-knowledge","installed","agent/src/skills/regulatory-knowledge/SKILL.md","C:\Users\lixue\.codex\skills\regulatory-knowledge"
"Vibe-Trading","report-generate","installed","agent/src/skills/report-generate/SKILL.md","C:\Users\lixue\.codex\skills\report-generate"
"Vibe-Trading","research-goal","installed","agent/src/skills/research-goal/SKILL.md","C:\Users\lixue\.codex\skills\research-goal"
"Vibe-Trading","risk-analysis","installed","agent/src/skills/risk-analysis/SKILL.md","C:\Users\lixue\.codex\skills\risk-analysis"
"Vibe-Trading","seasonal","installed","agent/src/skills/seasonal/SKILL.md","C:\Users\lixue\.codex\skills\seasonal"
"Vibe-Trading","sector-rotation","installed","agent/src/skills/sector-rotation/SKILL.md","C:\Users\lixue\.codex\skills\sector-rotation"
"Vibe-Trading","sentiment-analysis","installed","agent/src/skills/sentiment-analysis/SKILL.md","C:\Users\lixue\.codex\skills\sentiment-analysis"
"Vibe-Trading","shadow-account","installed","agent/src/skills/shadow-account/SKILL.md","C:\Users\lixue\.codex\skills\shadow-account"
"Vibe-Trading","smc","installed","agent/src/skills/smc/SKILL.md","C:\Users\lixue\.codex\skills\smc"
